date,CPI
Nov 2006,2.7
Dec 2006,3.0
Jan 2007,2.7
Feb 2007,2.8
Mar 2007,3.1
Apr 2007,2.8
May 2007,2.5
Jun 2007,2.4
Jul 2007,1.9
Aug 2007,1.8
Sep 2007,1.8
Oct 2007,2.1
Nov 2007,2.1
Dec 2007,2.1
Jan 2008,2.2
Feb 2008,2.5
Mar 2008,2.5
Apr 2008,3.0
May 2008,3.3
Jun 2008,3.8
Jul 2008,4.4
Aug 2008,4.7
Sep 2008,5.2
Oct 2008,4.5
Nov 2008,4.1
Dec 2008,3.1
Jan 2009,3.0
Feb 2009,3.2
Mar 2009,2.9
Apr 2009,2.3
May 2009,2.2
Jun 2009,1.8
Jul 2009,1.8
Aug 2009,1.6
Sep 2009,1.1
Oct 2009,1.5
Nov 2009,1.9
Dec 2009,2.9
Jan 2010,3.5
Feb 2010,3.0
Mar 2010,3.4
Apr 2010,3.7
May 2010,3.4
Jun 2010,3.2
Jul 2010,3.1
Aug 2010,3.1
Sep 2010,3.1
Oct 2010,3.2
Nov 2010,3.3
Dec 2010,3.7
Jan 2011,4.0
Feb 2011,4.4
Mar 2011,4.0
Apr 2011,4.5
May 2011,4.5
Jun 2011,4.2
Jul 2011,4.4
Aug 2011,4.5
Sep 2011,5.2
Oct 2011,5.0
Nov 2011,4.8
Dec 2011,4.2
Jan 2012,3.6
Feb 2012,3.4
Mar 2012,3.5
Apr 2012,3.0
May 2012,2.8
Jun 2012,2.4
Jul 2012,2.6
Aug 2012,2.5
Sep 2012,2.2
Oct 2012,2.7
Nov 2012,2.7
Dec 2012,2.7
Jan 2013,2.7
Feb 2013,2.8
Mar 2013,2.8
Apr 2013,2.4
May 2013,2.7
Jun 2013,2.9
Jul 2013,2.8
Aug 2013,2.7
Sep 2013,2.7
Oct 2013,2.2
Nov 2013,2.1
Dec 2013,2.0
Jan 2014,1.9
Feb 2014,1.7
Mar 2014,1.6
Apr 2014,1.8
May 2014,1.5
Jun 2014,1.9
Jul 2014,1.6
Aug 2014,1.5
Sep 2014,1.2
Oct 2014,1.3
Nov 2014,1.0
Dec 2014,0.5
Jan 2015,0.3
Feb 2015,0.0
Mar 2015,0.0
Apr 2015,-0.1
May 2015,0.1
Jun 2015,0.0
Jul 2015,0.1
Aug 2015,0.0
Sep 2015,-0.1
Oct 2015,-0.1
Nov 2015,0.1
Dec 2015,0.2
Jan 2016,0.3
Feb 2016,0.3
Mar 2016,0.5
Apr 2016,0.3
May 2016,0.3
Jun 2016,0.5
Jul 2016,0.6
Aug 2016,0.6
Sep 2016,1.0
Oct 2016,0.9
Nov 2016,1.2
